Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C69        1206                  2979mil       2360mil       2979mil       2360mil       2924mil       2360mil  B        180.00 10uF/16V       
VR3        VR3296            3535.433mil   2741.732mil   3535.433mil   2641.732mil   3535.433mil   2641.732mil  T        270.00 10K POT        
HL25       LED_0805           2005.74mil   2697.992mil    2005.74mil   2697.992mil    2005.74mil   2733.425mil  T         90.00 LED,Red        
AC6        LED_0805              1297mil       4111mil       1297mil       4111mil       1297mil   4075.567mil  T        270.00 LED,Red        
HT         LED_0805              1213mil       4112mil       1213mil       4112mil       1213mil   4076.567mil  T        270.00 LED,Red        
C16        0805              2913.386mil   3503.937mil   2913.386mil   3503.937mil   2913.386mil   3466.535mil  T         90.00 100nf/50V      
C17        0805              3374.016mil   3496.063mil   3374.016mil   3496.063mil   3374.016mil   3458.661mil  T         90.00 100nf/50V      
C9         0805                  2452mil       3504mil       2452mil       3504mil       2452mil   3466.598mil  T         90.00 100nf/50V      
U12        TSSOP20           3107.611mil    3421.26mil   3107.611mil    3421.26mil   2992.454mil   3305.118mil  T         90.00 74HCT245       
U13        TSSOP20           3570.866mil    3421.26mil   3570.866mil    3421.26mil   3455.708mil   3305.118mil  T         90.00 74HCT245       
U9         TSSOP20           2644.357mil    3421.26mil   2644.357mil    3421.26mil     2529.2mil   3305.118mil  T         90.00 74HCT245       
P2         DC3-2X13          3044.883mil   4455.512mil   2444.882mil   4405.512mil   2444.883mil   4405.512mil  T        360.00 DC3 13X2       
U16        TSSOP20           2988.189mil   2148.622mil   2988.189mil   2148.622mil   3104.331mil   2033.465mil  T        180.00 74HCT245       
CD4        CX8*10.5              4307mil       4529mil       4307mil       4529mil       4307mil   4664.827mil  T        270.00 220uf/35V      
D1         SMA(AK)           4279.528mil   3484.252mil   4279.528mil   3484.252mil   4198.819mil   3484.252mil  T        180.00 1N4007(M7)     
D3         SMA(AK)           4279.528mil   3606.299mil   4279.528mil   3606.299mil   4198.819mil   3606.299mil  T        180.00 1N4007(M7)     
HL19       LED_0805          3893.197mil    4881.89mil   3893.197mil    4881.89mil   3893.197mil   4846.457mil  T        270.00 LED,Red        
HL20       LED_0805          3991.622mil   4882.957mil   3991.622mil   4882.957mil   3991.622mil   4847.524mil  T        270.00 LED,Red        
J3         PHD-20            4590.551mil   4098.425mil   4629.921mil   4452.756mil   4629.921mil   4452.756mil  T         90.00 PHD-20         
Q1         SOIC8             3980.315mil    3543.11mil   3874.016mil    3618.11mil   3874.016mil    3618.11mil  T          0.00 NTM5848NL      
R13        0805              2114.173mil   3159.449mil   2114.173mil   3159.449mil   2114.173mil   3122.047mil  T         90.00 0R,1%,DNI      
R33        0805              2275.591mil   3159.449mil   2275.591mil   3159.449mil   2275.591mil   3122.047mil  T         90.00 0R,1%,DNI      
R35        0805              2983.693mil   1823.801mil   2983.693mil   1823.801mil   2983.693mil   1861.203mil  T        270.00 10K,5%         
C18        0805              4161.978mil   1749.907mil   4161.978mil   1749.907mil   4161.978mil   1787.309mil  T        270.00 100nf/50V      
C19        0805              4161.978mil   1919.199mil   4161.978mil   1919.199mil   4161.978mil     1956.6mil  T        270.00 1nf/50V        
C20        0805              4248.592mil   2072.742mil   4248.592mil   2072.742mil   4248.592mil   2110.144mil  T        270.00 10nf/50V       
C21        0805              3866.703mil   1513.687mil   3866.703mil   1513.687mil   3829.301mil   1513.687mil  T        360.00 100nf/50V      
